SCHEDULE_ID;GM;AK_DELIV_DATE;CONTRACT_DATE;MATERIALS_DATE;RISK;JUMBO;AK_DELIV_AREA;JOINT_CUTTING;JOINT_PACKING
447511;72231,35;;28.11.2023;28.08.2023;0;1;200;0;0
447512;8241,43;;28.11.2023;28.08.2023;0;0;200;0;0
447513;54185,74;;28.11.2023;28.08.2023;0;0;200;0;0
447514;14689,8;;28.11.2023;28.08.2023;1;0;200;0;0
447515;120891,11;;28.11.2023;28.08.2023;0;0;200;0;0
447517;37623,54;;28.11.2023;28.08.2023;0;0;200;0;0
447518;7073,44;;28.11.2023;28.08.2023;0;0;200;0;0
447519;99412,35;;28.11.2023;28.08.2023;1;0;200;0;0
447528;43370,5;;28.11.2023;18.08.2023;0;0;410;0;0
448373;30859,84;;24.11.2023;15.11.2023;1;1;220;0;0
448374;30859,84;;24.11.2023;15.11.2023;1;1;220;0;0
448446;19670,08;;25.12.2023;05.09.2023;1;0;900;0;0
448447;5677,24;;25.12.2023;05.09.2023;1;0;900;0;0
448448;23022,99;;25.12.2023;05.09.2023;1;0;900;0;0
448449;6036,26;;25.12.2023;05.09.2023;1;0;900;0;0
448450;373634,75;;25.12.2023;05.09.2023;1;0;900;0;0
448451;74515,12;;25.12.2023;05.09.2023;1;0;900;0;0
448452;23022,99;;27.12.2023;20.09.2023;1;0;900;0;0
448453;5672,2;;27.12.2023;20.09.2023;1;0;900;0;0
448454;156411,88;;27.12.2023;20.09.2023;1;0;900;0;0
448455;22042,91;;27.12.2023;20.09.2023;1;0;900;0;0
448457;14341,62;;27.12.2023;20.09.2023;1;0;900;0;0
448458;123104,48;;27.12.2023;20.09.2023;1;0;900;0;0
448483;6812,72;;02.12.2023;15.11.2023;1;0;410;0;0
448485;8689,65;;02.12.2023;15.11.2023;0;0;410;0;0
448486;2441,98;;02.12.2023;15.11.2023;0;0;410;0;0
448487;19387,15;;02.12.2023;15.11.2023;0;0;410;0;0
448488;85542,75;;02.12.2023;15.11.2023;0;0;410;0;0
448489;8067,29;;02.12.2023;15.11.2023;0;0;410;0;0
448490;7034,16;;02.12.2023;15.11.2023;0;0;410;0;0
449068;22562,11;;17.11.2023;14.09.2023;1;0;700;0;0
449142;1372,14;;20.11.2023;10.10.2023;0;0;200;0;0
449143;7496,93;;20.11.2023;10.10.2023;0;0;200;0;0
449144;26604,36;;27.11.2023;10.10.2023;0;0;200;0;0
449145;34100,76;;27.11.2023;10.10.2023;0;0;200;0;0
449147;2029,22;;27.11.2023;10.10.2023;0;0;200;0;0
449149;1364,61;;27.11.2023;10.10.2023;0;0;200;0;0
449151;7472,43;;27.11.2023;10.10.2023;0;0;200;0;0
449159;26604,36;;04.12.2023;10.10.2023;0;0;200;0;0
449160;34100,76;;04.12.2023;10.10.2023;0;0;200;0;0
449161;2029,22;;04.12.2023;10.10.2023;0;0;200;0;0
449162;1364,61;;04.12.2023;10.10.2023;0;0;200;0;0
449163;7472,43;;04.12.2023;10.10.2023;0;0;200;0;0
449172;26604,36;;11.12.2023;10.10.2023;0;0;200;0;0
449173;34100,76;;11.12.2023;10.10.2023;0;0;200;0;0
449175;1364,61;;11.12.2023;10.10.2023;0;0;200;0;0
449178;2029,22;;11.12.2023;10.10.2023;0;0;200;0;0
449179;7446,8;;11.12.2023;10.10.2023;0;0;200;0;0
449186;124591,37;;19.12.2023;13.09.2023;1;0;700;0;0
449187;17748,49;;19.12.2023;13.09.2023;1;0;700;0;0
449188;37109,44;;19.12.2023;13.09.2023;0;0;700;0;0
449189;14835,89;;19.12.2023;13.09.2023;1;0;700;0;0
449190;22017,95;;19.12.2023;13.09.2023;1;0;700;0;0
449191;20135,02;;19.12.2023;13.09.2023;1;0;700;0;0
449224;40032,28;;11.11.2024;15.11.2023;0;0;100;0;0
449225;80719,28;;11.11.2024;15.11.2023;0;0;100;0;0
449226;8978,31;;11.11.2024;15.11.2023;0;0;100;0;0
449227;83801,66;;11.11.2024;15.11.2023;0;0;100;0;0
449248;47030,27;;11.11.2024;15.11.2023;0;0;200;0;0
449249;86154,44;;11.11.2024;15.11.2023;0;0;200;0;0
449596;83837,04;;24.12.2023;15.11.2023;1;0;400;0;0
449597;127085,72;;24.12.2023;15.11.2023;1;0;400;0;0
449600;17913,45;;24.12.2023;15.11.2023;1;0;400;0;0
449735;74655,75;;29.11.2023;03.09.2023;0;0;700;0;0
449736;42239,12;;29.11.2023;03.09.2023;0;0;700;0;0
449740;41315,9;;29.11.2023;03.09.2023;1;0;700;0;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
